rank,entry,entry_type,frequency_band,category,usage_note
1,arrive,word,High,Common verbs,Common standalone word used in daily conversation
2,ask,word,High,Common verbs,Common standalone word used in daily conversation
3,book,word,High,Common verbs,Common standalone word used in daily conversation
4,bring,word,High,Common verbs,Common standalone word used in daily conversation
5,buy,word,High,Common verbs,Common standalone word used in daily conversation
6,cancel,word,High,Common verbs,Common standalone word used in daily conversation
7,carry,word,High,Common verbs,Common standalone word used in daily conversation
8,change,word,High,Common verbs,Common standalone word used in daily conversation
9,choose,word,High,Common verbs,Common standalone word used in daily conversation
10,close,word,High,Common verbs,Common standalone word used in daily conversation
11,come,word,High,Common verbs,Common standalone word used in daily conversation
12,do,word,High,Common verbs,Common standalone word used in daily conversation
13,drink,word,High,Common verbs,Common standalone word used in daily conversation
14,drive,word,High,Common verbs,Common standalone word used in daily conversation
15,eat,word,High,Common verbs,Common standalone word used in daily conversation
16,find,word,High,Common verbs,Common standalone word used in daily conversation
17,forget,word,High,Common verbs,Common standalone word used in daily conversation
18,get,word,High,Common verbs,Common standalone word used in daily conversation
19,go,word,High,Common verbs,Common standalone word used in daily conversation
20,hate,word,High,Common verbs,Common standalone word used in daily conversation
21,keep,word,High,Common verbs,Common standalone word used in daily conversation
22,leave,word,High,Common verbs,Common standalone word used in daily conversation
23,like,word,High,Common verbs,Common standalone word used in daily conversation
24,look,word,High,Common verbs,Common standalone word used in daily conversation
25,lose,word,High,Common verbs,Common standalone word used in daily conversation
26,love,word,High,Common verbs,Common standalone word used in daily conversation
27,make,word,High,Common verbs,Common standalone word used in daily conversation
28,meet,word,High,Common verbs,Common standalone word used in daily conversation
29,move,word,High,Common verbs,Common standalone word used in daily conversation
30,need,word,High,Common verbs,Common standalone word used in daily conversation
31,pack,word,High,Common verbs,Common standalone word used in daily conversation
32,pay,word,High,Common verbs,Common standalone word used in daily conversation
33,prefer,word,High,Common verbs,Common standalone word used in daily conversation
34,receive,word,High,Common verbs,Common standalone word used in daily conversation
35,remember,word,High,Common verbs,Common standalone word used in daily conversation
36,run,word,High,Common verbs,Common standalone word used in daily conversation
37,say,word,High,Common verbs,Common standalone word used in daily conversation
38,see,word,High,Common verbs,Common standalone word used in daily conversation
39,sell,word,High,Common verbs,Common standalone word used in daily conversation
40,send,word,High,Common verbs,Common standalone word used in daily conversation
41,share,word,High,Common verbs,Common standalone word used in daily conversation
42,sit,word,High,Common verbs,Common standalone word used in daily conversation
43,sleep,word,High,Common verbs,Common standalone word used in daily conversation
44,speak,word,High,Common verbs,Common standalone word used in daily conversation
45,stand,word,High,Common verbs,Common standalone word used in daily conversation
46,start,word,High,Common verbs,Common standalone word used in daily conversation
47,take,word,High,Common verbs,Common standalone word used in daily conversation
48,talk,word,High,Common verbs,Common standalone word used in daily conversation
49,tell,word,High,Common verbs,Common standalone word used in daily conversation
50,try,word,High,Common verbs,Common standalone word used in daily conversation
51,unpack,word,High,Common verbs,Common standalone word used in daily conversation
52,use,word,High,Common verbs,Common standalone word used in daily conversation
53,wait,word,High,Common verbs,Common standalone word used in daily conversation
54,wake,word,High,Common verbs,Common standalone word used in daily conversation
55,walk,word,High,Common verbs,Common standalone word used in daily conversation
56,want,word,High,Common verbs,Common standalone word used in daily conversation
57,wear,word,High,Common verbs,Common standalone word used in daily conversation
58,even,word,High,Conversation fillers,Common standalone word used in daily conversation
59,literally,word,High,Conversation fillers,Common standalone word used in daily conversation
60,pretty,word,High,Conversation fillers,Common standalone word used in daily conversation
61,quite,word,High,Conversation fillers,Common standalone word used in daily conversation
62,somehow,word,High,Conversation fillers,Common standalone word used in daily conversation
63,still,word,High,Conversation fillers,Common standalone word used in daily conversation
64,about,word,High,Core everyday words,Very common word used across daily conversation
65,address,word,High,Core everyday words,Very common word used across daily conversation
66,after,word,High,Core everyday words,Very common word used across daily conversation
67,afternoon,word,High,Core everyday words,Very common word used across daily conversation
68,again,word,High,Core everyday words,Very common word used across daily conversation
69,airport,word,High,Core everyday words,Very common word used across daily conversation
70,all,word,High,Core everyday words,Very common word used across daily conversation
71,alone,word,High,Core everyday words,Very common word used across daily conversation
72,also,word,High,Core everyday words,Very common word used across daily conversation
73,and,word,High,Core everyday words,Very common word used across daily conversation
74,angry,word,High,Core everyday words,Very common word used across daily conversation
75,another,word,High,Core everyday words,Very common word used across daily conversation
76,answer,word,High,Core everyday words,Very common word used across daily conversation
77,any,word,High,Core everyday words,Very common word used across daily conversation
78,Arabic,word,High,Core everyday words,Very common word used across daily conversation
79,around,word,High,Core everyday words,Very common word used across daily conversation
80,at,word,High,Core everyday words,Very common word used across daily conversation
81,away,word,High,Core everyday words,Very common word used across daily conversation
82,back,word,High,Core everyday words,Very common word used across daily conversation
83,bad,word,High,Core everyday words,Very common word used across daily conversation
84,bag,word,High,Core everyday words,Very common word used across daily conversation
85,bathroom,word,High,Core everyday words,Very common word used across daily conversation
86,beautiful,word,High,Core everyday words,Very common word used across daily conversation
87,because,word,High,Core everyday words,Very common word used across daily conversation
88,bed,word,High,Core everyday words,Very common word used across daily conversation
89,before,word,High,Core everyday words,Very common word used across daily conversation
90,between,word,High,Core everyday words,Very common word used across daily conversation
91,big,word,High,Core everyday words,Very common word used across daily conversation
92,bored,word,High,Core everyday words,Very common word used across daily conversation
93,bread,word,High,Core everyday words,Very common word used across daily conversation
94,breakfast,word,High,Core everyday words,Very common word used across daily conversation
95,bus,word,High,Core everyday words,Very common word used across daily conversation
96,busy,word,High,Core everyday words,Very common word used across daily conversation
97,but,word,High,Core everyday words,Very common word used across daily conversation
98,by,word,High,Core everyday words,Very common word used across daily conversation
99,bye,word,High,Core everyday words,Very common word used across daily conversation
100,cafe,word,High,Core everyday words,Very common word used across daily conversation
101,call,word,High,Core everyday words,Very common word used across daily conversation
102,car,word,High,Core everyday words,Very common word used across daily conversation
103,card,word,High,Core everyday words,Very common word used across daily conversation
104,careful,word,High,Core everyday words,Very common word used across daily conversation
105,cash,word,High,Core everyday words,Very common word used across daily conversation
106,chair,word,High,Core everyday words,Very common word used across daily conversation
107,charger,word,High,Core everyday words,Very common word used across daily conversation
108,cheap,word,High,Core everyday words,Very common word used across daily conversation
109,chicken,word,High,Core everyday words,Very common word used across daily conversation
110,child,word,High,Core everyday words,Very common word used across daily conversation
111,city,word,High,Core everyday words,Very common word used across daily conversation
112,clean,word,High,Core everyday words,Very common word used across daily conversation
113,closed,word,High,Core everyday words,Very common word used across daily conversation
114,coffee,word,High,Core everyday words,Very common word used across daily conversation
115,cold,word,High,Core everyday words,Very common word used across daily conversation
116,comfortable,word,High,Core everyday words,Very common word used across daily conversation
117,cool,word,High,Core everyday words,Very common word used across daily conversation
118,country,word,High,Core everyday words,Very common word used across daily conversation
119,dangerous,word,High,Core everyday words,Very common word used across daily conversation
120,day,word,High,Core everyday words,Very common word used across daily conversation
121,different,word,High,Core everyday words,Very common word used across daily conversation
122,dinner,word,High,Core everyday words,Very common word used across daily conversation
123,dirty,word,High,Core everyday words,Very common word used across daily conversation
124,door,word,High,Core everyday words,Very common word used across daily conversation
125,down,word,High,Core everyday words,Very common word used across daily conversation
126,each,word,High,Core everyday words,Very common word used across daily conversation
127,early,word,High,Core everyday words,Very common word used across daily conversation
128,easy,word,High,Core everyday words,Very common word used across daily conversation
129,email,word,High,Core everyday words,Very common word used across daily conversation
130,empty,word,High,Core everyday words,Very common word used across daily conversation
131,English,word,High,Core everyday words,Very common word used across daily conversation
132,enough,word,High,Core everyday words,Very common word used across daily conversation
133,evening,word,High,Core everyday words,Very common word used across daily conversation
134,every,word,High,Core everyday words,Very common word used across daily conversation
135,excited,word,High,Core everyday words,Very common word used across daily conversation
136,excuse,word,High,Core everyday words,Very common word used across daily conversation
137,expensive,word,High,Core everyday words,Very common word used across daily conversation
138,false,word,High,Core everyday words,Very common word used across daily conversation
139,family,word,High,Core everyday words,Very common word used across daily conversation
140,far,word,High,Core everyday words,Very common word used across daily conversation
141,fast,word,High,Core everyday words,Very common word used across daily conversation
142,few,word,High,Core everyday words,Very common word used across daily conversation
143,fine,word,High,Core everyday words,Very common word used across daily conversation
144,first,word,High,Core everyday words,Very common word used across daily conversation
145,fish,word,High,Core everyday words,Very common word used across daily conversation
146,food,word,High,Core everyday words,Very common word used across daily conversation
147,for,word,High,Core everyday words,Very common word used across daily conversation
148,free,word,High,Core everyday words,Very common word used across daily conversation
149,French,word,High,Core everyday words,Very common word used across daily conversation
150,friend,word,High,Core everyday words,Very common word used across daily conversation
151,from,word,High,Core everyday words,Very common word used across daily conversation
152,fruit,word,High,Core everyday words,Very common word used across daily conversation
153,full,word,High,Core everyday words,Very common word used across daily conversation
154,game,word,High,Core everyday words,Very common word used across daily conversation
155,German,word,High,Core everyday words,Very common word used across daily conversation
156,good,word,High,Core everyday words,Very common word used across daily conversation
