english,current_bsk,community_corrected,in_research_academy_dict,verified,correct_form,notes
what is your name,uny gueek besan bila,,NO,Yes,,
what is your name (formal),unum ming i?,,NO,,uny gueek besan bila,
my name is,e ming,,NO,,ja aik,
nice to meet you,un burus yini,,NO,,un nukuixh khushi manimi,
how are you,man haleti chi,,NO,,be hal bila,
i am fine,jas aman,,NO,,je shua ba,
i am not fine,jas baa aman,,NO,,je shua apa,
good morning,san burus,,YES,,,
good night,burus yum,,NO,,,
good evening,burus,,NO,,,
good afternoon,burus,,NO,,,
i love you,e uny huris manis,,NO,,ja uny ka shul echaba,
i miss you,e uny yad manis,,NO,,ja uny aski duwalila,
where are you,un amlo yini,,NO,,un amlo ba,
where are you going,un amlar nichaa,,NO,yes,,
where are you from,un amlo yimi,,NO,,un amlum ba,
where is it,amlo bila,,NO,yes,,
where do you live,un amlo ba dimi,,NO,,un amlo hurusha,
where is the bathroom,gusal khana amlo yini,,NO,,bathroom amlo bila,
where is the hospital,hospital amlo yini,,NO,,hospital amlo bila,
where is the hotel,hotel amlo yini,,NO,,hotel amlo bila,
where is the market,bazar amlo yini,,NO,,dukaanin amlo bixa,
where is the mosque,masjid amlo yini,,NO,,majit amlo bila,
what is this,imi i chi,,NO,,guty besan bila,
what is that,iye i chi,,NO,,itey besan bila,
what time is it,baje man beya chi,,NO,,besan khaen manila,
what is your job,un i manis,,NO,,uny duro besan bila,
what happened,i chi,,NO,,be manimi,
what do you want,un i manis,,NO,,besan awaji unar,
how much,man beya,,NO,,berum,
how many,man beya,,NO,,beruman,
how far,man para chi,,NO,,berum mathan,
how long,man bero chi,,NO,,berum uyum,
how do you say,un man gus,,NO,,uny belaty sibaa,
i don't understand,e bimi,,NO,,asulo apalimi,
i don't know,e bimi,,NO,,jaar lail api,
do you understand,un bimis chi,,NO,,goslo balimia,
do you speak english,un inglizi gus chi,,NO,,uny english gharicha,
i don't speak burushaski,je burushaski baa gus aman,,NO,,je burushaski gharas ayamayaba,
i am learning burushaski,je burushaski batshis aman,,NO,,ja burushaski gharas heyaba,
speak slowly,ama ama gus,,NO,,thala gharay,
speak slowly please,meherbani ama ama gus,,NO,,thala gharay,
please repeat,meherbani thikane gus,,NO,,hikkeh,
can you write it,un likhim chi,,NO,,un girminas gomayba?,
thank you,shukriya,,NO,,Juu gor,
thank you very much,shukriya heto,,NO,,butan juu gor,
you are welcome,koi bat nahi,,NO,,bes k masla api,
please,meherbani,,NO,,,
sorry,maafi,,NO,,bakhshish ati,
excuse me,maafi,,NO,,,No translation in burushaski
no problem,koi bat nahi,,NO,,masla api,
it's okay,thik chi,,NO,,shua bila,
help me,e madad man,,NO,,,
i need help,e madad manis,,NO,,,
help,madad,,NO,,,
i am lost,e yum chi,,NO,,,
call the police,police tsal,,NO,,police r qaw eti,
i need a doctor,e doctor manis,,NO,,jar doctor awaji,
i am sick,e dardman aman,,NO,,je bemar ba,
call an ambulance,ambulance tsal,,NO,,ambulance r qaw eti,
there is a fire,jun chi,,NO,,etalay phuan bila,
i want water,e sil manis,,NO,,jar sil awaji,
i am hungry,e chan manis,,NO,,je chaminay ba,
i am thirsty,e sil manis,,NO,,ja buk yuebi,
i am tired,e thak aman,,NO,,je awaraba,
i am happy,je khushi aman,,NO,,je khush ba,
